Job_Title,Company,Region,Remote,URL
Senior Kotlin Backend Engineer (m/f/d),Flix,"Berlin, Berlin, Germany",No,https://www.arbeitnow.com/jobs/companies/flix/senior-kotlin-backend-engineer-berlin-178051
Senior Kotlin Backend Engineer (m/f/d),Flix,"Berlin, Berlin, Germany",No,https://www.arbeitnow.com/jobs/companies/flix/senior-kotlin-backend-engineer-berlin-130619
Data Platform Engineer (Mid-Level) (m/f/d),Flix,"Berlin, Berlin, Germany",No,https://www.arbeitnow.com/jobs/companies/flix/data-platform-engineer-mid-level-berlin-181232
Junior Al Engineer Anwendungen & Daten (m/w/d),Kivvo,Mülheim,No,https://www.arbeitnow.com/jobs/companies/kivvo/junior-al-engineer-anwendungen-daten-mulheim-229475
Junior Python Developer Kl & Retrieval (m/w/d),Kivvo,Mülheim,No,https://www.arbeitnow.com/jobs/companies/kivvo/junior-python-developer-kl-retrieval-mulheim-149095
Senior Full Stack Developer Laravel & Vue.js (m/w/d) -  Remote,ZEP GmbH,Ditzingen,Yes,https://www.arbeitnow.com/jobs/companies/zep-gmbh/senior-full-stack-developer-laravel-vuejs-remote-ditzingen-444723
Mid or Senior Software Engineer - Python (m/f/d),momox,Berlin,No,https://www.arbeitnow.com/jobs/companies/momox/mid-or-senior-software-engineer-python-berlin-252937
Quality Assurance Engineer (m/f/d),Yalwa GmbH,Wiesbaden,No,https://www.arbeitnow.com/jobs/companies/yalwa-gmbh/quality-assurance-engineer-wiesbaden-478276
Senior Data Analyst (m/f/x),Atolls,"Munich, Bavaria, Germany",No,https://www.arbeitnow.com/jobs/companies/atolls/senior-data-analyst-munich-233465
Senior Data Analyst (m/f/x),Atolls,"Berlin, Berlin, Germany",No,https://www.arbeitnow.com/jobs/companies/atolls/senior-data-analyst-berlin-342853
Software Developer (m/w/d) Virtualization & Hypervisor Architecture | Berlin oder Dresden,INDIE Solutions GmbH,Berlin,No,https://www.arbeitnow.com/jobs/companies/indie-solutions-gmbh/software-developer-virtualization-hypervisor-architecture-berlin-oder-dresden-73506
Data Scientist (f/x/m),spotixx GmbH,Frankfurt am Main,No,https://www.arbeitnow.com/jobs/companies/spotixx-gmbh/data-scientist-frankfurt-am-main-402642
Fullstack Web Developer,plan B Werbeagentur,Bremen,No,https://www.arbeitnow.com/jobs/companies/plan-b-werbeagentur/fullstack-web-developer-bremen-128283
